date,datetime,coffee_name,hour,hora_numerica,tipo_pagamento,valor_hryvnia,dia_semana_num,dia_semana,mes_num,mes_nome,ano,semana_ano,dia_mes,mes_ano,periodo_dia,feriado_nome
2024-03-01,2024-03-01 10:15:50.520,Latte,10:15,10,Cartão,38.7,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Manhã (07h-11h),-
2024-03-01,2024-03-01 12:19:22.539,Hot Chocolate,12:19,12,Cartão,38.7,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Tarde (12h-17h),-
2024-03-01,2024-03-01 12:20:18.089,Hot Chocolate,12:20,12,Cartão,38.7,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Tarde (12h-17h),-
2024-03-01,2024-03-01 13:46:33.006,Americano,13:46,13,Cartão,28.9,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Tarde (12h-17h),-
2024-03-01,2024-03-01 13:48:14.626,Latte,13:48,13,Cartão,38.7,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Tarde (12h-17h),-
2024-03-01,2024-03-01 15:39:47.726,Americano with Milk,15:39,15,Cartão,33.8,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Tarde (12h-17h),-
2024-03-01,2024-03-01 16:19:02.756,Hot Chocolate,16:19,16,Cartão,38.7,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Tarde (12h-17h),-
2024-03-01,2024-03-01 18:39:03.580,Americano with Milk,18:39,18,Cartão,33.8,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Noite (18h-22h),-
2024-03-01,2024-03-01 19:22:01.762,Cocoa,19:22,19,Cartão,38.7,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Noite (18h-22h),-
2024-03-01,2024-03-01 19:23:15.887,Americano with Milk,19:23,19,Cartão,33.8,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Noite (18h-22h),-
2024-03-01,2024-03-01 19:29:17.391,Americano with Milk,19:29,19,Cartão,33.8,4,Sexta-feira,3,Março,2024,9,1,Março/2024,Noite (18h-22h),-
2024-03-02,2024-03-02 10:22:06.957,Americano,10:22,10,Cartão,28.9,5,Sábado,3,Março,2024,9,2,Março/2024,Manhã (07h-11h),-
2024-03-02,2024-03-02 10:30:35.668,Latte,10:30,10,Dinheiro,40.0,5,Sábado,3,Março,2024,9,2,Março/2024,Manhã (07h-11h),-
2024-03-02,2024-03-02 10:41:41.249,Americano with Milk,10:41,10,Cartão,33.8,5,Sábado,3,Março,2024,9,2,Março/2024,Manhã (07h-11h),-
2024-03-02,2024-03-02 11:59:45.484,Americano with Milk,11:59,11,Cartão,33.8,5,Sábado,3,Março,2024,9,2,Março/2024,Manhã (07h-11h),-
2024-03-02,2024-03-02 14:38:35.535,Americano,14:38,14,Cartão,28.9,5,Sábado,3,Março,2024,9,2,Março/2024,Tarde (12h-17h),-
2024-03-02,2024-03-02 16:37:24.475,Americano with Milk,16:37,16,Cartão,33.8,5,Sábado,3,Março,2024,9,2,Março/2024,Tarde (12h-17h),-
2024-03-02,2024-03-02 17:34:54.969,Americano,17:34,17,Cartão,28.9,5,Sábado,3,Março,2024,9,2,Março/2024,Tarde (12h-17h),-
2024-03-03,2024-03-03 10:10:43.981,Latte,10:10,10,Dinheiro,40.0,6,Domingo,3,Março,2024,9,3,Março/2024,Manhã (07h-11h),-
2024-03-03,2024-03-03 10:27:18.561,Latte,10:27,10,Cartão,38.7,6,Domingo,3,Março,2024,9,3,Março/2024,Manhã (07h-11h),-
2024-03-03,2024-03-03 11:33:56.118,Cortado,11:33,11,Cartão,28.9,6,Domingo,3,Março,2024,9,3,Março/2024,Manhã (07h-11h),-
2024-03-03,2024-03-03 12:26:56.098,Americano,12:26,12,Cartão,28.9,6,Domingo,3,Março,2024,9,3,Março/2024,Tarde (12h-17h),-
2024-03-03,2024-03-03 13:09:36.321,Hot Chocolate,13:09,13,Cartão,38.7,6,Domingo,3,Março,2024,9,3,Março/2024,Tarde (12h-17h),-
2024-03-03,2024-03-03 17:06:40.271,Cocoa,17:06,17,Cartão,38.7,6,Domingo,3,Março,2024,9,3,Março/2024,Tarde (12h-17h),-
2024-03-03,2024-03-03 17:08:45.895,Cortado,17:08,17,Cartão,28.9,6,Domingo,3,Março,2024,9,3,Março/2024,Tarde (12h-17h),-
2024-03-03,2024-03-03 18:03:23.369,Americano with Milk,18:03,18,Cartão,33.8,6,Domingo,3,Março,2024,9,3,Março/2024,Noite (18h-22h),-
2024-03-03,2024-03-03 18:04:27.946,Americano with Milk,18:04,18,Cartão,33.8,6,Domingo,3,Março,2024,9,3,Março/2024,Noite (18h-22h),-
2024-03-03,2024-03-03 18:08:04.959,Hot Chocolate,18:08,18,Cartão,38.7,6,Domingo,3,Março,2024,9,3,Março/2024,Noite (18h-22h),-
2024-03-04,2024-03-04 10:03:51.994,Latte,10:03,10,Cartão,38.7,0,Segunda-feira,3,Março,2024,10,4,Março/2024,Manhã (07h-11h),-
2024-03-04,2024-03-04 10:54:50.958,Latte,10:54,10,Cartão,38.7,0,Segunda-feira,3,Março,2024,10,4,Março/2024,Manhã (07h-11h),-
